epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4451.31,0.59073,0.49966,1.38937,0.7104,0.75181,0.82653,0.70647,0.719,0.93036,1.75085,0.000519792,0.000519792,0.000519792
70,4515.22,0.58445,0.48372,1.41832,0.70366,0.77398,0.82386,0.70485,0.71132,0.9462,1.80743,0.000516936,0.000516936,0.000516936
71,4579.35,0.58476,0.48689,1.42192,0.72184,0.75371,0.82057,0.70248,0.70008,0.92771,1.80288,0.00051408,0.00051408,0.00051408
72,4641.86,0.58381,0.48474,1.43087,0.74948,0.74734,0.83467,0.71047,0.70912,0.89549,1.71876,0.000511224,0.000511224,0.000511224
73,4705.94,0.58122,0.47762,1.43245,0.76545,0.75476,0.82909,0.70786,0.70624,0.87358,1.82472,0.000508368,0.000508368,0.000508368
74,4769.42,0.57293,0.47599,1.42408,0.80743,0.71961,0.83396,0.71444,0.69828,0.8926,1.81034,0.000505512,0.000505512,0.000505512
75,4831.88,0.5719,0.47072,1.39317,0.77307,0.76187,0.8312,0.71051,0.70891,0.90437,1.77601,0.000502656,0.000502656,0.000502656
76,4894.65,0.57808,0.48296,1.38706,0.77185,0.71263,0.82268,0.70097,0.71755,0.92769,1.80018,0.0004998,0.0004998,0.0004998
77,4957.71,0.57404,0.48265,1.42932,0.80017,0.7149,0.8193,0.6973,0.71578,0.88386,1.75997,0.000496944,0.000496944,0.000496944
78,5021.09,0.57271,0.47742,1.39431,0.76113,0.7293,0.82426,0.70679,0.69731,0.8816,1.79112,0.000494088,0.000494088,0.000494088
79,5083.9,0.57345,0.47899,1.39471,0.81008,0.70011,0.82755,0.71038,0.70647,0.90889,1.79745,0.000491232,0.000491232,0.000491232
80,5146.73,0.57166,0.48363,1.39817,0.74621,0.72511,0.81902,0.70305,0.71301,0.92078,1.72655,0.000488376,0.000488376,0.000488376
81,5210.72,0.57801,0.47839,1.41934,0.83755,0.68605,0.83069,0.71117,0.70786,0.8846,1.78814,0.00048552,0.00048552,0.00048552
82,5273.26,0.56533,0.46651,1.42621,0.79225,0.73364,0.83011,0.70985,0.70249,0.87875,1.80696,0.000482664,0.000482664,0.000482664
83,5336.41,0.56277,0.4635,1.38671,0.76339,0.73904,0.82854,0.70589,0.71913,0.87735,1.80973,0.000479808,0.000479808,0.000479808
84,5400.97,0.56609,0.47575,1.38814,0.76442,0.74567,0.83682,0.71462,0.70149,0.87685,1.80322,0.000476952,0.000476952,0.000476952
85,5465.76,0.55314,0.45956,1.38829,0.79095,0.7446,0.84368,0.72449,0.7002,0.82993,1.85117,0.000474096,0.000474096,0.000474096
86,5529.35,0.56042,0.46033,1.41725,0.74497,0.76091,0.83886,0.72047,0.69182,0.82293,1.83433,0.00047124,0.00047124,0.00047124
87,5591.87,0.54916,0.4422,1.37241,0.70928,0.79243,0.83529,0.72137,0.70075,0.83507,1.84712,0.000468384,0.000468384,0.000468384
88,5654.97,0.5569,0.45188,1.40391,0.80295,0.71121,0.817,0.70665,0.69372,0.87621,1.73935,0.000465528,0.000465528,0.000465528
89,5718.93,0.54684,0.44551,1.41014,0.74314,0.75715,0.82442,0.71365,0.69353,0.8602,1.79934,0.000462672,0.000462672,0.000462672
